FID,year,jday,gmt,icount,lat,lon,code,frp,zen,5kmIGBP,500mIGBP,30mFCCS,30mCDL,1kmGLCC,BinTime
0,2019,227,10.2,14839,43.49,-92.24,15,24.7,48.27,12,12,213,141,30,10.5
1,2019,229,11.7,22273,43.47,-94.51,15,12.1,36.56,12,12,0,5,35,12
2,2019,232,18.17,33351,43.49,-95.06,15,23.1,67.88,12,17,-9999,111,35,18.5
3,2019,225,18.28,8048,43.39,-91.85,15,16.1,69.67,12,12,90,141,30,18.5
4,2019,229,13.28,22827,43.47,-95.86,15,10.1,29.67,12,12,0,5,35,13.5
5,2019,228,18.12,20748,43.41,-96.43,15,19.3,65.24,12,12,0,5,35,18.5
6,2019,232,17.17,33130,43.41,-95.2,15,7.4,57.02,12,12,0,1,35,17.5
7,2019,241,14.67,96282,43.42,-95.41,15,12.6,37.62,12,12,0,5,35,15
8,2019,242,13.67,97622,43.4,-95.09,15,24.9,34.23,12,12,213,195,35,14
9,2019,232,13.51,32355,43.21,-91.71,15,21.4,30.6,12,12,0,1,30,14
10,2019,239,15.51,94264,43.27,-94.07,15,6.2,43.54,12,12,0,121,35,16
11,2019,241,14.67,96283,43.28,-95.04,15,19.2,37.65,12,12,0,1,35,15
12,2019,241,15.17,96353,43.29,-95.9,15,15.3,40.62,12,12,0,1,35,15.5
13,2019,227,17.2,16615,43,-103.6,15,28.9,50.01,10,10,236,176,2,17.5
14,2019,232,13.17,32288,43.22,-95.5,15,13.1,30.48,12,12,131,195,35,13.5
15,2019,236,12.17,60285,43.21,-95.38,15,24.8,35.44,12,12,0,1,35,12.5
16,2019,239,12.67,93875,43,-103.6,15,8.8,36.43,10,10,236,176,2,13
17,2019,228,18.03,20722,43,-103.11,15,11.9,59.45,10,10,236,176,2,18.5
18,2019,239,12.51,93864,42.98,-103.25,15,6.7,37.29,10,10,66,176,40,13
19,2019,227,17.12,16600,42.96,-103.03,15,33.5,49.53,10,10,236,152,40,17.5
20,2019,232,17.01,33095,43.14,-95.75,15,28.7,54.81,12,12,0,1,35,17.5
21,2019,238,13.01,85974,42.97,-102.73,15,37.1,34.08,10,10,213,176,40,13.5
22,2019,239,12.84,93884,42.99,-102.46,15,15.1,35.1,10,10,236,176,41,13
23,2019,241,15.51,96390,43.13,-95.63,15,11.4,43.25,12,12,0,1,35,16
24,2019,227,17.12,16601,42.91,-103.18,15,23.7,49.41,10,10,236,176,40,17.5
25,2019,227,18.62,16903,42.97,-102.08,15,34.8,66.32,10,10,236,176,41,19
26,2019,227,18.7,16926,42.97,-102.08,12,42.6,67.24,10,10,236,176,41,19
27,2019,231,19.51,31564,42.88,-103.6,15,9.9,76.25,10,10,66,176,2,20
28,2019,238,19.34,87189,42.86,-103.8,15,28.8,76.19,10,10,236,176,40,19.5
29,2019,239,14.84,94224,42.93,-102.98,15,6.4,34.69,10,10,0,36,40,15
30,2019,227,19.78,17117,42.85,-103.64,15,28,78.21,10,10,66,176,40,20
31,2019,228,16.87,20314,43.05,-94.41,15,18.6,53.19,12,12,0,5,35,17
32,2019,231,19.67,31578,42.87,-103.47,15,17.9,78.17,10,10,66,176,40,20
33,2019,238,16.17,86480,42.93,-102.49,15,30,43.93,10,10,67,142,41,16.5
34,2019,239,11.34,93800,43.08,-96.44,15,35.3,42.69,12,12,900,111,35,11.5
35,2019,241,14.17,96223,43.06,-95.97,15,15.9,34.71,12,12,0,1,35,14.5
36,2019,242,12.84,97464,43.08,-95.16,15,35.1,34.33,12,12,213,5,35,13
37,2019,227,18.37,16830,42.81,-103.96,15,28.2,62.2,10,10,66,37,2,18.5
38,2019,229,13.2,22799,43.02,-92.95,15,23.2,29.14,12,12,317,141,35,13.5
39,2019,227,17.28,16628,42.79,-103.58,15,34.7,50.83,10,10,610,176,41,17.5
40,2019,227,17.87,16719,42.83,-102.67,15,29.4,57.69,10,10,610,142,22,18
41,2019,228,14.2,19283,42.99,-98.75,15,13.5,29.62,10,12,0,5,30,14.5
42,2019,228,17.03,20358,42.98,-99.13,15,22,51.62,10,10,213,24,7,17.5
43,2019,232,14.84,32643,42.99,-94.45,15,13.4,35.69,12,12,0,5,35,15
44,2019,235,10.01,52454,42.86,-102.33,15,26.5,58.6,10,10,236,176,41,10.5
45,2019,238,13.84,86079,42.83,-102.74,15,19,31.97,10,10,610,176,94,14
46,2019,238,14.01,86102,42.83,-102.74,15,18.4,32.01,10,10,610,176,94,14.5
47,2019,238,15.17,86295,42.9,-101.44,15,24.2,36.73,10,10,236,176,2,15.5
48,2019,238,15.17,86296,42.82,-103.04,15,30.9,36,10,10,66,176,40,15.5
49,2019,239,14.17,94099,42.81,-102.91,15,44,32.51,10,10,67,176,40,14.5
50,2019,239,14.51,94173,42.88,-102.03,15,20,33.55,10,10,236,176,41,15
51,2019,225,13.45,6286,42.93,-99.9,15,12.4,28.05,10,10,236,176,94,13.5
52,2019,228,12.7,18582,42.93,-92.14,15,23.4,29.49,12,12,0,5,35,13
53,2019,231,17.34,31230,42.93,-99.78,15,10.4,55.17,10,10,236,176,94,17.5
54,2019,232,14.67,32615,42.92,-99.1,15,12,32.72,10,10,131,176,7,15
55,2019,228,11.45,17927,42.73,-103.54,15,16.5,43.25,10,10,236,176,40,11.5
56,2019,232,15.01,32678,42.91,-98.83,15,8.6,34.78,10,12,213,176,30,15.5
57,2019,232,17.67,33222,42.93,-96.35,15,9.5,61.46,12,12,0,5,35,18
58,2019,236,13.67,60392,42.94,-95.33,15,32,31.59,12,12,0,5,35,14
59,2019,239,14.67,94204,42.8,-101.81,15,5.9,34.18,10,10,236,176,2,15
60,2019,228,14.03,19207,42.84,-100.36,15,27.5,28.84,10,10,236,176,41,14.5
61,2019,229,16.7,24453,42.7,-103.52,15,28.3,45.41,10,10,236,176,40,17
62,2019,238,16.84,86595,42.76,-102.06,15,31.8,50.39,10,10,67,176,41,17
63,2019,242,11.84,97218,42.9,-96.37,15,10.8,39.49,12,12,0,5,35,12
64,2019,243,11.01,98745,42.67,-103.97,15,21.6,51.02,10,10,236,176,2,11.5
65,2019,229,19.7,25777,42.71,-102.25,15,38.9,78.83,10,10,0,24,41,20
66,2019,232,10.84,31909,42.63,-103.86,15,0.1,50.27,10,10,236,176,40,11
67,2019,234,15.34,48158,42.65,-103.65,15,18.3,35.3,10,10,67,176,40,15.5
68,2019,236,11.67,60251,42.88,-95.31,15,22.6,38.52,12,12,90,121,30,12
69,2019,239,15.01,94233,42.73,-102.01,15,12.3,35.71,10,10,236,176,41,15.5
70,2019,239,15.17,94244,42.73,-101.95,15,20.6,36.72,10,10,236,176,22,15.5
71,2019,239,15.34,94256,42.73,-101.98,15,19.7,37.8,10,10,236,176,41,15.5
72,2019,226,17.28,11046,42.67,-102.59,15,41.4,51.24,10,10,236,176,41,17.5
73,2019,228,11.2,17850,42.6,-103.74,15,17,45.76,10,10,236,176,2,11.5
74,2019,229,19.62,25761,42.69,-102.29,15,33.2,77.89,10,10,0,61,41,20
75,2019,232,18.01,33302,42.83,-95.96,15,22.1,65.36,12,12,0,1,35,18.5
76,2019,238,15.34,86326,42.66,-102.79,15,23.5,37.03,10,10,236,176,40,15.5
77,2019,239,13.84,93974,42.67,-102.53,15,11.4,32.16,10,10,0,42,41,14
78,2019,242,12.67,97427,42.85,-95.89,15,24.8,34.78,12,12,0,1,35,13
79,2019,225,18.87,8234,42.74,-100.07,15,27.4,70.08,10,10,236,176,41,19
80,2019,228,13.7,19069,42.71,-100.62,15,24.3,28.52,10,10,236,176,41,14
81,2019,228,15.12,19708,42.73,-99.92,15,23.9,33.63,10,10,236,176,94,15.5
82,2019,232,11.01,31926,42.77,-98.38,15,3.5,45.05,10,10,1,141,94,11.5
83,2019,238,17.51,86692,42.73,-99.86,15,26.1,58.78,10,10,302,176,94,18
84,2019,239,10.84,93783,42.8,-96.55,15,30.3,47.04,12,12,131,121,35,11
85,2019,239,11.84,93826,42.79,-95.87,15,27.4,38.32,12,12,0,5,35,12
86,2019,239,15.67,94274,42.66,-101.79,15,9.1,40.29,10,10,236,176,41,16
87,2019,227,16.95,16570,42.77,-96.06,15,19,52.59,12,12,0,5,35,17
88,2019,229,11.78,22301,42.76,-98.32,15,8.4,37.41,10,10,236,176,94,12
89,2019,229,19.62,25762,42.65,-101.67,15,38.5,78.35,10,10,236,176,41,20
90,2019,232,13.17,32289,42.74,-97.76,15,11.5,30.28,12,10,131,176,30,13.5
91,2019,232,18.17,33352,42.76,-95.85,15,17.2,67.27,12,12,0,5,35,18.5
92,2019,237,8.84,84243,42.68,-90.91,15,18.3,63.31,12,17,900,111,55,9
93,2019,237,18.17,85029,42.52,-103.98,15,29.6,62.67,10,10,236,176,2,18.5
94,2019,238,10.84,85577,42.63,-102.26,15,47.8,50.42,10,10,236,176,41,11
95,2019,238,13.01,85975,42.64,-101.93,15,35.1,33.55,10,10,236,176,41,13.5
96,2019,238,15.67,86392,42.52,-103.95,15,17.2,38.75,10,10,236,176,2,16
97,2019,239,14.84,94225,42.66,-101.37,15,19.4,34.98,10,10,236,176,41,15
98,2019,242,14.67,97813,42.77,-95.35,15,15.1,37.46,12,12,0,5,35,15
99,2019,225,19.12,8319,42.61,-101.47,15,37.9,72.05,10,10,1,195,41,19.5
100,2019,228,15.03,19682,42.66,-100.21,15,28.6,32.89,10,10,236,176,41,15.5
101,2019,231,15.67,30983,42.62,-101.02,15,3.8,38.11,10,10,236,176,41,16
102,2019,231,15.84,30999,42.65,-100.59,15,7.2,39.78,10,10,236,176,41,16
103,2019,232,10.68,31896,42.69,-98.52,15,4.4,48.38,10,10,131,176,7,11
104,2019,238,13.34,86035,42.64,-100.41,15,26.8,32.18,10,10,318,195,41,13.5
105,2019,239,13.34,93914,42.72,-94.23,15,22.6,32.21,12,12,129,190,35,13.5
106,2019,227,19.28,17040,42.51,-102.77,15,22.5,73.4,10,10,236,176,41,19.5
107,2019,231,17.84,31324,42.44,-103.99,15,16.3,57.4,10,10,236,176,2,18
108,2019,231,18.34,31409,42.48,-103.31,15,16.6,63.36,10,10,66,176,40,18.5
109,2019,231,18.51,31442,42.48,-103.28,15,16.9,65.21,10,10,66,176,40,19
110,2019,232,13.34,32320,42.7,-97.63,15,6.5,29.93,12,12,131,176,30,13.5
111,2019,234,16.51,48222,42.6,-101.31,15,37.4,46.34,10,10,236,176,41,17
112,2019,236,13.51,60388,42.67,-92.85,15,14.3,31.31,12,12,0,1,40,14
113,2019,239,16.01,94299,42.56,-102.04,15,15.3,42.83,10,10,318,195,41,16.5
114,2019,242,14.01,97689,42.68,-98.31,15,21,33.74,10,10,131,176,30,14.5
115,2019,229,11.7,22274,42.49,-89.56,15,28.9,33.46,12,12,0,5,55,12
116,2019,229,12.7,22620,42.64,-97.66,15,17.8,30.93,12,12,0,5,30,13
117,2019,232,17.34,33161,42.65,-97.15,15,21.4,57.24,12,12,131,176,30,17.5
118,2019,236,20.84,64970,42.67,-96.33,15,44.3,97.07,12,12,0,1,35,21
119,2019,238,10.51,85569,42.52,-102.41,14,39.5,53.88,10,10,236,176,2,11
120,2019,238,17.17,86644,42.5,-102.65,15,17.8,53.27,10,12,0,42,41,17.5
121,2019,239,16.01,94298,42.57,-101.23,15,9.8,43.3,10,10,236,176,41,16.5
122,2019,225,19.2,8346,42.56,-100.07,10,61.4,73.99,10,10,236,176,41,19.5
123,2019,226,9.87,9537,42.56,-100.07,15,25.3,56.81,10,10,236,176,41,10
124,2019,229,11.53,22213,42.46,-89.63,15,25.9,34.64,12,12,1283,1,30,12
125,2019,229,13.62,22962,42.58,-92.8,15,22,29.06,12,12,129,190,35,14
126,2019,229,18.53,25386,42.61,-94.33,15,14.8,71.58,12,12,0,5,35,19
127,2019,229,18.62,25445,42.61,-94.25,15,9.4,72.56,12,12,0,1,35,19
128,2019,232,12.01,32083,42.63,-97.91,15,10.2,36.1,10,10,154,141,30,12.5
129,2019,238,13.67,86060,42.63,-97.91,15,27.8,31.8,10,10,154,141,30,14
130,2019,238,16.34,86517,42.39,-103.62,15,16.5,44.43,10,10,66,176,2,16.5
131,2019,238,16.34,86518,42.38,-104.05,15,16.7,44.17,10,10,57,176,2,16.5
132,2019,242,16.01,98016,42.62,-93.92,15,21.6,48.77,12,12,0,1,35,16.5
133,2019,225,19.2,8347,42.55,-99.83,15,28.1,74.17,12,12,0,122,30,19.5
134,2019,226,10.7,9678,42.54,-99.59,15,33.3,47.62,12,12,0,1,94,11
135,2019,227,11.03,15016,42.55,-99.86,12,40.4,44.63,12,13,0,122,94,11.5
136,2019,228,10.45,17649,42.54,-92.59,15,32.2,45.81,12,12,0,1,35,10.5
137,2019,230,13.11,27500,42.56,-98.41,15,31.8,29.77,12,12,1,5,30,13.5
138,2019,231,17.34,31235,42.35,-103.97,15,14.2,52.05,10,10,236,176,2,17.5
139,2019,231,17.51,31262,42.35,-103.94,15,24.4,53.84,10,10,236,176,2,18
140,2019,231,17.67,31292,42.41,-103.05,15,18.4,56.27,10,10,236,1,41,18
141,2019,232,10.34,31877,42.57,-98.58,15,5.5,51.79,10,12,236,176,30,10.5
142,2019,232,12.34,32140,42.53,-92.28,15,21.5,31.7,12,12,0,1,35,12.5
143,2019,238,15.51,86358,42.42,-102.75,15,23.3,38.03,10,10,0,121,41,16
144,2019,239,14.01,94040,42.49,-100.93,15,2.8,32.15,10,10,236,176,94,14.5
145,2019,242,10.18,96966,42.57,-99.05,15,21.1,55.84,12,12,0,1,35,10.5
146,2019,242,17.51,98198,42.37,-103.73,15,21.7,57.15,10,10,236,176,52,18
147,2019,225,19.37,8389,42.49,-99.83,15,31.1,76.01,10,10,236,176,30,19.5
148,2019,227,17.62,16673,42.55,-97.48,15,20.5,58.69,12,12,0,5,35,18
149,2019,227,18.03,16755,42.57,-96.8,15,22.7,63.76,12,12,213,1,35,18.5
150,2019,228,10.2,17614,42.52,-92.72,15,20.7,48.42,12,12,0,1,35,10.5
151,2019,228,10.28,17624,42.51,-92.64,15,22.8,47.51,12,12,0,5,35,10.5
152,2019,228,16.03,20025,42.5,-99.48,15,25.1,41.23,10,10,236,176,94,16.5
153,2019,228,16.78,20289,42.35,-88.83,15,14.1,56.11,12,12,1281,176,35,17
154,2019,228,18.7,20998,42.38,-103,15,33.5,66.79,10,10,66,176,41,19
155,2019,231,17.34,31234,42.34,-103.38,15,25.7,52.46,10,10,213,176,41,17.5
156,2019,231,17.51,31261,42.34,-103.32,15,16.6,54.27,10,10,0,24,41,18
157,2019,232,12.51,32170,42.49,-92.05,15,20.2,30.9,12,12,0,1,35,13
158,2019,236,14.51,60432,42.35,-88.69,15,25.8,36.85,12,12,0,5,35,15
159,2019,238,16.34,86519,42.35,-103.51,15,8.3,44.48,10,10,66,176,2,16.5
160,2019,239,15.34,94255,42.56,-97.71,15,13.7,39.74,12,12,131,176,30,15.5
161,2019,239,17.01,94354,42.46,-101.33,15,16.8,52.74,10,10,236,176,41,17.5
162,2019,242,11.01,97072,42.56,-97.08,15,30,46.4,12,12,0,5,30,11.5
163,2019,229,11.87,22330,42.38,-89.85,15,19,32.43,12,12,0,1,55,12
164,2019,229,15.45,23884,42.52,-98.07,15,19.6,37.22,10,10,0,27,30,15.5
165,2019,231,17.51,31263,42.29,-104,15,5.9,53.78,10,10,610,152,2,18
166,2019,234,12.51,47778,42.31,-103.3,15,10.6,35.38,10,10,213,24,41,13
167,2019,238,14.67,86209,42.47,-99.44,15,17.5,34.26,10,10,236,176,94,15
168,2019,238,16.34,86520,42.28,-103.77,15,13.8,44.28,10,10,236,176,2,16.5
169,2019,238,17.17,86647,42.34,-102.77,15,21.2,53.12,10,10,0,24,41,17.5
170,2019,239,16.67,94335,42.4,-101.8,15,17,49.06,10,10,236,176,41,17
171,2019,241,11.84,95903,42.4,-90.42,15,25.4,36.26,9,9,0,176,23,12
172,2019,241,12.84,96038,42.27,-87.98,15,25.8,32.48,13,13,196,122,55,13
173,2019,241,13.84,96174,42.27,-87.87,15,7.5,34.85,13,13,0,122,30,14
174,2019,242,13.34,97574,42.53,-95.08,15,25.4,33.09,12,12,0,36,35,13.5
175,2019,227,18.37,16829,42.5,-96.43,15,29.3,67.71,13,13,0,122,30,18.5
176,2019,228,13.62,19031,42.44,-99.31,15,32.5,28.24,10,10,236,176,94,14
177,2019,228,14.95,19652,42.3,-88.84,15,22.8,37.76,12,12,0,1,35,15
178,2019,228,15.87,19968,42.38,-90.63,15,9.8,45.26,12,8,90,141,55,16
179,2019,228,16.7,20257,42.42,-100,15,20.4,47.38,10,10,236,176,41,17
180,2019,228,17.12,20393,42.45,-99.64,15,28.1,51.98,12,10,236,176,94,17.5
181,2019,228,17.2,20428,42.45,-99.64,15,24.7,52.87,12,10,236,176,94,17.5
182,2019,228,17.28,20458,42.45,-99.64,15,24.5,53.76,12,10,236,176,94,17.5
183,2019,229,11.37,22151,42.35,-89.63,15,23.2,35.82,12,12,0,1,35,11.5
184,2019,229,16.53,24381,42.31,-102.72,15,5.8,44.12,10,10,236,176,41,17
185,2019,231,11.01,30412,42.25,-103.72,15,11.9,48.14,10,10,236,176,2,11.5
186,2019,231,17.34,31231,42.48,-97.27,15,34.9,56.84,12,12,0,1,35,17.5
187,2019,231,17.34,31236,42.29,-103.47,15,4.9,52.38,10,10,66,176,40,17.5
188,2019,231,17.51,31257,42.47,-97.13,15,27.7,58.75,12,12,0,1,35,18
189,2019,231,18.01,31350,42.47,-98.77,15,25.5,63.02,12,12,236,176,30,18.5
190,2019,232,12.51,32171,42.49,-97.54,15,4.6,32.6,12,12,0,5,35,13
191,2019,232,16.17,32904,42.5,-96.4,15,21.4,45.65,13,13,-9999,123,41,16.5
192,2019,234,15.17,48148,42.32,-89.62,15,22.9,41.05,12,12,0,1,35,15.5
193,2019,238,17.34,86669,42.42,-100.12,15,39.5,56.74,10,10,236,176,41,17.5
194,2019,239,14.01,94039,42.41,-91.43,15,16.7,33.93,12,12,0,1,35,14.5
195,2019,242,11.67,97180,42.5,-96.37,15,31.5,40.38,13,13,0,122,1,12
196,2019,242,12.34,97331,42.48,-97.33,15,37.3,36.42,12,12,0,5,35,12.5
197,2019,226,9.7,9517,42.38,-100.36,15,19.6,58.81,10,10,236,176,41,10
198,2019,227,18.53,16882,42.46,-96.27,15,20.7,69.67,12,12,0,121,35,19
199,2019,231,11.17,30422,42.44,-98.87,15,18.2,43.39,10,10,236,176,94,11.5
200,2019,231,16.51,31107,42.21,-104.01,15,6.3,43.55,10,10,236,176,2,17
201,2019,231,18.67,31465,42.24,-103.57,15,19.9,66.83,10,10,236,176,2,19
202,2019,234,15.51,48166,42.29,-89.67,15,21.5,44.04,12,12,0,123,30,16
203,2019,238,17.67,86709,42.4,-100.17,15,33.3,60.26,10,10,213,176,41,18
204,2019,239,12.84,93885,42.3,-102.69,15,10.6,34.57,10,10,236,176,41,13
205,2019,239,16.34,94319,42.37,-100.71,15,13.5,46.54,10,10,236,176,41,16.5
206,2019,242,13.01,97504,42.46,-95.62,15,13.9,33.41,12,12,0,5,35,13.5
207,2019,242,13.51,97598,42.46,-94.98,15,26.6,33.1,12,12,0,5,35,14
208,2019,228,17.78,20633,42.17,-103.9,15,13.4,56.02,10,10,66,176,52,18
209,2019,231,17.51,31258,42.33,-100.52,15,17,56.27,10,10,236,176,94,18
210,2019,232,13.01,32251,42.42,-97.79,15,8.9,30.43,12,12,0,176,35,13.5
211,2019,238,18.01,86748,42.32,-101.49,15,26.5,62.91,10,10,236,176,41,18.5
212,2019,239,12.17,93842,42.43,-95.55,15,12.8,35.74,12,12,0,1,35,12.5
213,2019,239,17.17,94367,42.32,-100.84,15,21.2,54.75,10,10,236,176,41,17.5
214,2019,227,18.2,16787,42.35,-98.65,15,26.1,64.22,10,10,0,121,30,18.5
215,2019,229,15.12,23723,42.32,-91.4,15,19.3,38.03,12,12,0,1,35,15.5
216,2019,231,18.01,31353,42.19,-103.23,15,17.2,59.71,10,10,66,176,41,18.5
217,2019,232,14.17,32510,42.39,-97.12,15,9.3,30.62,12,12,0,1,35,14.5
218,2019,232,14.34,32551,42.33,-99.4,15,5.7,30.62,10,10,236,176,41,14.5
219,2019,235,16.34,53038,42.25,-90,15,18.3,52.4,12,12,266,141,23,16.5
220,2019,238,14.01,86103,42.26,-101.88,15,16.4,31.48,10,10,236,176,41,14.5
221,2019,238,17.01,86622,42.15,-104.01,15,24.8,50.5,10,10,236,176,52,17.5
222,2019,225,15.37,7117,42.37,-96.09,15,8.7,36.41,12,12,0,1,35,15.5
223,2019,228,14.37,19375,42.35,-93.74,15,43,31.21,12,12,0,1,35,14.5
224,2019,228,15.2,19754,42.13,-88.27,15,16.4,40.24,9,13,90,121,55,15.5
225,2019,228,16.45,20170,42.16,-89.04,15,8.2,52.32,12,12,0,1,35,16.5
226,2019,231,16.84,31149,42.3,-100,15,29.4,49.58,10,10,1,195,94,17
227,2019,231,17.84,31325,42.14,-103.33,15,9,57.81,10,10,236,176,2,18
228,2019,232,10.51,31884,42.34,-98.59,15,12.2,49.99,10,10,236,176,94,11
229,2019,232,13.67,32391,42.34,-96.85,15,17.4,29.5,12,12,0,1,35,14
230,2019,232,15.17,32711,42.31,-93.31,15,13,38.32,12,12,213,121,35,15.5
231,2019,235,17.51,53101,42.3,-99.54,15,17.3,58.05,10,10,318,176,41,18
232,2019,242,13.84,97656,42.35,-96.93,15,21.3,33.26,12,12,0,5,35,14
233,2019,225,15.62,7226,42.33,-95.91,15,15.3,38.7,12,12,66,176,35,16
234,2019,225,16.45,7541,42.33,-95.91,15,13.5,46.84,12,12,66,176,35,16.5
235,2019,227,19.2,17027,42.32,-96.86,15,20.7,76.85,12,12,0,5,35,19.5
236,2019,228,12.12,18254,42.21,-101.49,15,15.1,35.8,10,10,236,176,41,12.5
237,2019,228,14.2,19284,42.3,-94.58,15,21.6,30.03,12,12,0,1,35,14.5
238,2019,229,17.2,24696,42.33,-95.96,15,17.2,55.71,12,12,213,121,35,17.5
239,2019,231,18.17,31385,42.09,-103.51,15,4.7,61.32,10,10,236,176,2,18.5
240,2019,231,18.67,31463,42.22,-100.7,15,24.5,68.95,10,10,236,176,41,19
241,2019,232,18.17,33353,42.18,-102.11,15,37.6,62.62,10,10,443,176,41,18.5
242,2019,234,16.17,48202,42.31,-97.26,15,41.7,45.58,12,12,0,36,30,16.5
243,2019,238,17.01,86623,42.12,-103.47,15,23,50.85,10,10,66,176,2,17.5
244,2019,238,17.84,86736,42.21,-101.02,15,25.3,61.41,10,10,236,176,41,18
245,2019,238,18.01,86749,42.16,-102.09,15,30,62.44,10,10,236,176,41,18.5
246,2019,242,16.51,98080,42.32,-96.41,15,29,51.88,12,12,0,5,35,17
247,2019,243,11.51,98766,42.2,-90.31,15,24.5,38.74,11,10,213,176,21,12
248,2019,225,12.45,5768,42.19,-101.25,15,31.8,32.42,10,10,236,176,41,12.5
249,2019,225,12.62,5858,42.19,-100.68,15,15.1,31.04,10,10,236,176,41,13
250,2019,226,18.53,11153,42.21,-100.49,15,26.6,66.32,10,10,236,176,41,19
251,2019,231,17.67,31294,42.07,-103.69,15,21.4,55.73,10,10,236,176,2,18
252,2019,231,17.84,31326,42.07,-103.56,15,12.9,57.63,10,10,236,176,2,18
253,2019,231,17.84,31327,42.07,-103.53,15,4.5,57.65,10,10,66,176,2,18
254,2019,238,13.34,86036,42.18,-101.03,15,10.2,31.82,10,10,236,176,41,13.5
255,2019,238,17.67,86710,42.23,-100.26,15,30.8,60.16,10,10,236,176,94,18
256,2019,238,17.84,86735,42.22,-100.08,15,40.4,62.1,10,10,236,176,41,18
257,2019,241,10.51,95739,42.14,-90.19,15,22.2,46.3,4,17,442,111,55,11
258,2019,228,9.7,17566,42.16,-90.89,15,24.2,52.27,12,14,90,141,30,10
259,2019,228,10.37,17637,42.08,-102.84,15,37.5,53.64,10,12,0,42,41,10.5
260,2019,228,11.87,18119,42.25,-94.06,15,20.9,33.95,12,12,0,111,35,12
261,2019,228,16.12,20051,42.04,-88.8,15,19.7,48.93,12,12,0,5,35,16.5
262,2019,229,15.2,23758,42.25,-97.95,15,22.1,35.12,12,12,0,5,30,15.5
263,2019,231,18.34,31410,42.08,-102.74,15,18.2,63.73,10,10,236,176,2,18.5
264,2019,232,14.01,32465,42.25,-96.64,15,3.4,30.06,12,12,0,1,30,14.5
265,2019,237,18.84,85107,42,-103.82,15,10.4,70.07,10,10,0,1,41,19
266,2019,238,13.84,86087,42.02,-103.65,15,22.7,31.18,10,10,236,176,2,14
267,2019,238,17.51,86693,42.03,-103.84,15,28.5,55.76,10,10,236,176,41,18
268,2019,228,12.87,18694,42.2,-97.44,15,30.7,29.44,12,12,236,176,35,13
269,2019,228,13.95,19170,42.23,-96.85,15,16.8,28.54,12,12,0,1,35,14
270,2019,231,19.01,31512,42.05,-102.22,15,34.5,71.79,10,10,236,176,2,19.5
271,2019,238,17.67,86714,41.99,-103.7,15,27.9,57.63,12,12,0,1,30,18
272,2019,239,16.34,94320,42.16,-100.08,15,7.2,46.83,10,10,236,176,41,16.5
273,2019,242,14.17,97723,42.23,-95.64,15,23.6,34.38,12,12,0,5,30,14.5
274,2019,243,9.51,98687,42.1,-90.9,15,17.7,57.18,12,12,0,28,30,10
275,2019,225,11.7,5455,42.13,-100.04,15,22.7,37.8,10,10,236,176,41,12
276,2019,228,12.7,18584,42.14,-99.63,15,1.8,30.88,10,10,236,176,30,13
277,2019,228,15.12,19709,41.98,-88.97,15,17.9,38.96,12,12,0,1,35,15.5
278,2019,228,16.37,20135,42.03,-89.46,15,16.1,51.1,12,12,0,1,55,16.5
279,2019,229,13.37,22863,42.18,-95.79,15,12.8,28.31,12,12,176,195,35,13.5
280,2019,229,18.45,25340,42.16,-94.53,15,21.8,70.52,12,12,0,1,35,18.5
281,2019,241,15.51,96391,42.19,-94.76,15,16.5,43.14,12,12,90,190,35,16
282,2019,242,11.51,97148,42.15,-98.19,15,11,42.43,12,12,236,176,30,12
283,2019,226,16.87,11002,41.94,-103.34,15,27.5,46.12,10,10,236,176,40,17
284,2019,228,15.87,19969,41.96,-89.13,15,16.1,46.1,12,12,0,1,35,16
285,2019,228,16.2,20080,41.98,-89.63,15,17.2,49.2,12,12,0,1,55,16.5
286,2019,231,11.51,30449,41.94,-103.3,15,6.7,42.77,10,10,236,176,40,12
287,2019,231,17.67,31293,42.03,-101.37,15,15.5,57.4,10,10,236,176,41,18
288,2019,232,14.34,32550,42.1,-92.28,15,33.4,32.67,12,12,0,5,35,14.5
289,2019,238,16.84,86599,42,-102.34,15,17.1,49.88,10,10,236,176,2,17
290,2019,238,18.01,86750,41.95,-103.1,15,21.3,61.67,10,10,236,176,2,18.5
291,2019,238,18.17,86761,42.07,-100.47,15,30.8,65.44,10,10,236,176,94,18.5
292,2019,238,18.84,86871,41.92,-103.54,15,25.2,70.56,10,10,236,176,41,19
293,2019,224,17.87,4177,42.11,-96.75,15,14.1,61.24,12,12,0,5,35,18
294,2019,226,15.37,10812,41.65,-84.92,15,22.5,43.23,12,12,0,1,35,15.5
295,2019,226,17.62,11083,41.88,-103.69,15,38.2,53.81,13,12,0,124,1,18
296,2019,228,17.28,20459,42.13,-96,15,16.5,56.3,12,12,0,1,35,17.5
297,2019,229,14.95,23643,42.05,-91.72,15,24.1,36.27,12,12,231,122,30,15
298,2019,231,10.51,30383,41.93,-89.14,15,26.3,43.31,12,12,90,141,55,11
299,2019,231,10.68,30392,41.93,-89.06,15,27.8,41.67,12,12,0,122,35,11
300,2019,231,17.17,31203,41.86,-103.96,15,11,50.15,12,12,213,36,38,17.5
301,2019,231,19.17,31529,41.91,-103.38,15,27.5,72.78,12,10,236,176,2,19.5
302,2019,232,13.17,32290,42.08,-99.08,15,5.4,29.86,10,10,236,176,38,13.5
303,2019,238,18.67,86811,41.9,-103.58,15,33.2,68.67,12,10,236,176,41,19
